naive,gt
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
0,0
1,1
1,1
0,0
1,1
1,1
1,1
0,0
1,1
0,1
1,1
1,1
1,0
0,1
0,1
0,1
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,1
1,1
1,1
1,1
0,0
1,1
0,1
1,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
1,0
1,1
0,0
1,0
0,0
0,1
1,1
0,1
0,0
0,1
1,0
0,1
1,1
0,1
1,1
0,1
1,1
1,1
1,0
1,0
1,0
0,0
1,0
1,1
1,1
1,0
1,1
1,0
1,0
0,1
1,1
1,1
0,1
1,0
1,1
1,1
1,1
0,1
1,1
0,0
1,0
1,0
1,1
0,1
1,0

# indices where label differs:
18
21
22
23
24
29
31
32
38
41
43
50
51
52
54
56
57
58
67
68
69
76
77
78
81
83
85
87
88
89
91
93
96
97
98
100
103
105
106
107
110
111
115
118
119
121
122
